,SR_Pcode,State_Region,Tsp_Pcode,Township,Facility,Date,Male,Female,Total
0,MMR008,Bago,MMR008012,Nattalin,အထက (နတ္တလင်း),29/3/2020,17.0,4.0,21
1,MMR008,Bago,MMR008012,Nattalin,အထက (တာပွန်),29/3/2020,14.0,3.0,17
2,MMR008,Bago,MMR008012,Nattalin,အလက (ပွတ်စု),29/3/2020,13.0,0.0,13
3,MMR008,Bago,MMR008012,Nattalin,အထက (ချဉ်ယုတ်ကွင်း),29/3/2020,21.0,6.0,27
4,MMR008,Bago,MMR008012,Nattalin,အထက (ပေါက်တုန်း),29/3/2020,2.0,0.0,2
5,MMR008,Bago,MMR008012,Nattalin,အထက (ဒမငယ်),29/3/2020,22.0,2.0,24
6,MMR008,Bago,MMR008012,Nattalin,အထက (ပဲမခမ်း),29/3/2020,4.0,1.0,5
7,MMR008,Bago,MMR008012,Nattalin,အထက (အောင်ဇေယျာ),29/3/2020,16.0,2.0,18
8,MMR008,Bago,MMR008012,Nattalin,အထက (ကြိုးကြာကန်),29/3/2020,1.0,0.0,1
9,MMR008,Bago,MMR008012,Nattalin,ရေမွေး,29/3/2020,8.0,0.0,8
10,MMR008,Bago,MMR008012,Nattalin,အထက (နတ္တလင်း),30/3/2020,2.0,1.0,3
11,MMR008,Bago,MMR008012,Nattalin,အထက (တာပွန်),30/3/2020,2.0,0.0,2
12,MMR008,Bago,MMR008012,Nattalin,အလက (ပွတ်စု),30/3/2020,0.0,0.0,0
13,MMR008,Bago,MMR008012,Nattalin,အထက (ချဉ်ယုတ်ကွင်း),30/3/2020,0.0,0.0,0
14,MMR008,Bago,MMR008012,Nattalin,အထက (ပေါက်တုန်း),30/3/2020,3.0,0.0,3
15,MMR008,Bago,MMR008012,Nattalin,အထက (ဒမငယ်),30/3/2020,1.0,0.0,1
16,MMR008,Bago,MMR008012,Nattalin,အထက (ပဲမခမ်း),30/3/2020,1.0,0.0,1
17,MMR008,Bago,MMR008012,Nattalin,အထက (အောင်ဇေယျာ),30/3/2020,1.0,0.0,1
18,MMR008,Bago,MMR008012,Nattalin,အထက (ကြိုးကြာကန်),30/3/2020,0.0,0.0,0
19,MMR008,Bago,MMR008012,Nattalin,ရေမွေး,30/3/2020,0.0,0.0,0
20,MMR008,Bago,MMR008009,Minhla,အထက (မြို့ပြင်),28/3/2020,23.0,7.0,30
21,MMR008,Bago,MMR008009,Minhla,အထက (စစ်ကွင်း),28/3/2020,22.0,14.0,36
22,MMR008,Bago,MMR008009,Minhla,အထက (လက်ပံရေကျော်),28/3/2020,19.0,8.0,27
23,MMR008,Bago,MMR008009,Minhla,အထက-ခွဲ (ကိုင်ပြင်ကြီး),28/3/2020,20.0,0.0,20
24,MMR008,Bago,MMR008009,Minhla,အထက (စိန်ကန့်လန့်),28/3/2020,35.0,7.0,42
25,MMR008,Bago,MMR008009,Minhla,အထက (ရွှေလောင်း),28/3/2020,39.0,8.0,47
26,MMR008,Bago,MMR008009,Minhla,အလက (ရှားတောကွင်း),28/3/2020,13.0,6.0,19
27,MMR008,Bago,MMR008009,Minhla,အလက (ဂန့်ဂေါ်ပင်),28/3/2020,29.0,10.0,39
28,MMR008,Bago,MMR008010,Okpho,အထကအုတ်ဖို,30/3/2020,77.0,23.0,100
29,MMR008,Bago,MMR008010,Okpho,အထက အိုးသည်ကုန်,30/3/2020,35.0,9.0,44
30,MMR008,Bago,MMR008010,Okpho,အထကအေးမြသာယာ,30/3/2020,30.0,4.0,34
31,MMR008,Bago,MMR008010,Okpho,အလက လယ်ဦးစု ( လက်ပတောအုပ်စု),30/3/2020,15.0,10.0,25
32,MMR008,Bago,MMR008010,Okpho,အထက( ခွဲ) ကိုင်းကလေ,30/3/2020,21.0,4.0,25
33,MMR008,Bago,MMR008014,Gyobingauk,ဗောဓိရိပ်သာကျောင်းတိုက်,30/3/2020,6.0,3.0,9
34,MMR008,Bago,MMR008014,Gyobingauk,မူလွန်ကံဦး,30/3/2020,5.0,1.0,6
35,MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ကိုင်းယားရှည်,30/3/2020,1.0,0.0,1
36,MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ကွင်းချောင်း,30/3/2020,5.0,0.0,5
37,MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ဘိုရုံစု,30/3/2020,4.0,2.0,6
38,MMR008,Bago,MMR008014,Gyobingauk,မူလွန် ကံကလေး,30/3/2020,3.0,2.0,5
39,MMR008,Bago,MMR008014,Gyobingauk,(အမက) တောင်ပို့ပြောင်,30/3/2020,4.0,0.0,4
40,MMR008,Bago,MMR008014,Gyobingauk,(အထက) ရွေဗန်းတော,30/3/2020,2.0,0.0,2
41,MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ) ကျွန်းကုန်းကြီး,30/3/2020,2.0,0.0,2
42,MMR008,Bago,MMR008014,Gyobingauk,(အမက) သရက်ကုန်း,30/3/2020,7.0,3.0,10
43,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ကြို့ကုန်း,30/3/2020,1.0,0.0,1
44,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ငှက်ကြီးသိုက်,30/3/2020,1.0,0.0,1
45,MMR008,Bago,MMR008014,Gyobingauk,အထက်စိန်ကြီးရိုးဘုန်းကြီးကျောင်း,30/3/2020,1.0,0.0,1
46,MMR008,Bago,MMR008014,Gyobingauk,(အမက) စိုင်‌ဂေါင်း,30/3/2020,2.0,0.0,2
47,MMR008,Bago,MMR008014,Gyobingauk,စမ်းအိုင် ငှက်ပျောတောခြံ,30/3/2020,1.0,1.0,2
48,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ရွာသစ်,30/3/2020,1.0,0.0,1
49,MMR008,Bago,MMR008014,Gyobingauk,(အလက) ရှမ်းကွင်း,30/3/2020,2.0,0.0,2
50,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ကြို့ပင်ဝိုင်း,30/3/2020,3.0,2.0,5
51,MMR008,Bago,MMR008014,Gyobingauk,အုတ်တွင်းကုန်း ဘုန်းကြီးကျောင်း,30/3/2020,1.0,0.0,1
52,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဥယျာဉ်ကြီး,30/3/2020,1.0,4.0,5
53,MMR008,Bago,MMR008014,Gyobingauk,ရန်ကြီးအောင် ဓမ္မာရုံ,30/3/2020,2.0,4.0,6
54,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ရှားဖြူကုန်း,30/3/2020,4.0,1.0,5
55,MMR008,Bago,MMR008014,Gyobingauk,(အမက) မြို့တွင်း,30/3/2020,1.0,1.0,2
56,MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ) ကြခတ္တန်းကြီး,30/3/2020,1.0,0.0,1
57,MMR008,Bago,MMR008014,Gyobingauk,(အမက)လက်ပံဖြူ,30/3/2020,1.0,0.0,1
58,MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ)လှေတုန်း,30/3/2020,1.0,1.0,2
59,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဂုံညင်းတန်း,30/3/2020,2.0,3.0,5
60,MMR008,Bago,MMR008014,Gyobingauk,အထက (ခွဲ) ရှားပင်ထ,30/3/2020,3.0,0.0,3
61,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ယောက်ချောင်း,30/3/2020,1.0,0.0,1
62,MMR008,Bago,MMR008014,Gyobingauk,ရွာသစ််ရဲကင်း,30/3/2020,10.0,1.0,11
63,MMR008,Bago,MMR008014,Gyobingauk,(အမက) အုန်းနှဲကျောတန်း (ရှေ့),30/3/2020,4.0,1.0,5
64,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဂွေးချောင်း,30/3/2020,5.0,0.0,5
65,MMR008,Bago,MMR008014,Gyobingauk,မကျီးကုန်း ဘုန်းကြီးကျောင်း,30/3/2020,1.0,0.0,1
66,MMR008,Bago,MMR008014,Gyobingauk,ဖလံကုန်းဘုရားကြီး,30/3/2020,1.0,0.0,1
67,MMR008,Bago,MMR008014,Gyobingauk,(အမက) အိုးဘိုကုန်း,30/3/2020,4.0,1.0,5
68,MMR008,Bago,MMR008014,Gyobingauk,(အမက) သပြေရုံ,30/3/2020,1.0,0.0,1
69,MMR008,Bago,MMR008014,Gyobingauk,(အမက) သခွတ်ပင်,30/3/2020,1.0,0.0,1
70,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဘန်းဘွေးကုန်း,30/3/2020,2.0,0.0,2
71,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ညောင်လှ,30/3/2020,1.0,0.0,1
72,MMR008,Bago,MMR008014,Gyobingauk,(အမက)လိန်ပင်ကွင်း,30/3/2020,2.0,2.0,4
73,MMR008,Bago,MMR008014,Gyobingauk,(အမက) ဘုကြီး,30/3/2020,2.0,0.0,2
74,MMR007,Bago,MMR008101,Taungoo,ကရင်ချောင်းကျေးရွာအုပ်စု (ကျေးအင်း-ထုံးဘို အထက်တန်းကျောင်း),30/3/2020,6.0,4.0,10
75,MMR007,Bago,MMR008101,Taungoo,အနောက်ဆင်ကျေးရွာအုပ်စု (ဆင်ရွာ မူလွန်ကျောင်း),30/3/2020,5.0,1.0,6
76,MMR007,Bago,MMR008101,Taungoo,သဖန်းပင်ကျေးရွာအုပ်စု,30/3/2020,4.0,9.0,13
77,MMR007,Bago,MMR008101,Taungoo,သီတဂူ ဗုဒ္ဓတက္ကသိုလ်,30/3/2020,1.0,1.0,2
78,MMR007,Bago,MMR008101,Taungoo,ရှမ်းမင်းသားဟိုတယ်,30/3/2020,5.0,1.0,6
79,MMR007,Bago,MMR008101,Taungoo,ဇီးကုန်းကျေးရွာအုပ်စု (ကမ္ဘားနီ မူလွန်ကျောင်းနှင့် တဲ),30/3/2020,3.0,2.0,5
80,MMR007,Bago,MMR008101,Taungoo,ရွှေလေးအင်းကျေးရွာအုပ်စု (ချောင်းကမ်း မူလွန်ကျောင်း),30/3/2020,5.0,0.0,5
81,MMR007,Bago,MMR008101,Taungoo,မဟင်ကျေးရွာအုပ်စု (အိုင်သုံးဆင့် စာသင်ကျောင်း),30/3/2020,1.0,3.0,4
82,MMR007,Bago,MMR008101,Taungoo,ဒိုးအင်းကျေးရွာအုပ်စု,30/3/2020,7.0,5.0,12
83,MMR007,Bago,MMR008101,Taungoo,ဇီးဒိုင်းကျေးရွာအပ်စု (ဇောတိ မူလွန်ကျောင်း),30/3/2020,1.0,0.0,1
84,MMR007,Bago,MMR008101,Taungoo,အ.ထ.က (၆),30/3/2020,2.0,0.0,2
85,MMR007,Bago,MMR008101,Taungoo,မြို့သစ် အ.ထ.က (ကေတုမတီ),30/3/2020,4.0,0.0,4
86,MMR007,Bago,MMR008101,Taungoo,ရပ်ကွက် (၂) တောင်ပို့ကြီးဘုရား ဓမ္မာရုံကျောင်း,30/3/2020,2.0,0.0,2
87,MMR007,Bago,MMR008101,Taungoo,စပါးကြွယ်ကျေးရွာအုပ်စု (စပါးကြွယ် အ.လ.က ခွဲ),30/3/2020,0.0,1.0,1
88,MMR007,Bago,MMR008101,Taungoo,ဆင်ဆိပ်ကျေးရွာအုပ်စု (ခပေါင်းတိန် စာသင်ကျောင်း),30/3/2020,1.0,0.0,1
89,MMR007,Bago,MMR008101,Taungoo,ဆင်ဆိပ်ကျေးရွာအုပ်စု (ကံလှကျေးရွာ ဘုရားစောင်းတန်း),30/3/2020,1.0,0.0,1
90,MMR007,Bago,MMR008101,Taungoo,ဆင်ဆိပ်ကျေးရွာအုပ်စု (ပန်းပဲ စာသင်ကျောင်း),30/3/2020,1.0,1.0,2
