,id,SR_Pcode,State_Region,Tsp_Pcode,Township,Type,Facility,Date,Admitted_Total
0,Q007011001,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (ကျောက်ကြီး),04/03/20,68
1,Q007011004,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (ညောင်ပင်သာ),04/03/20,43
2,Q007011002,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (နတ်သံကွင်း),04/03/20,107
3,Q007011003,MMR007,Bago (West),MMR007011,Kyaukkyi,ကွာရန်တင်းစခန်း,အ.ထ.က (မုန်း),04/03/20,112
4,Q008009002,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (စစ်ကွင်း),04/05/20,36
5,Q008009005,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (စိန်ကန့်လန့်),04/05/20,51
6,Q008009001,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (မြို့ပြင်),04/05/20,37
7,Q008009006,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (ရွှေလောင်း),04/05/20,59
8,Q008009003,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက (လက်ပံရေကျော်),04/05/20,37
9,Q008009004,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အထက-ခွဲ (ကိုင်ပြင်ကြီး),04/05/20,27
10,Q008009008,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အလက (ဂန့်ဂေါ်ပင်),04/05/20,37
11,Q008009007,MMR008,Bago (West),MMR008009,Minhla,ကွာရန်တင်းစခန်း,အလက (ရှားတောကွင်း),04/05/20,9
12,Q008010002,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထက အိုးသည်ကုန်,04/05/20,45
13,Q008010005,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထက( ခွဲ) ကိုင်းကလေ,04/05/20,28
14,Q008010001,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထကအုတ်ဖို,04/05/20,105
15,Q008010003,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အထကအေးမြသာယာ,04/05/20,46
16,Q008010004,MMR008,Bago (West),MMR008010,Okpho,ကွာရန်တင်းစခန်း,အလက လယ်ဦးစု ( လက်ပတောအုပ်စု),04/05/20,25
17,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/08/20,10
18,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/18/20,0
19,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/14/20,0
20,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/09/20,10
21,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/12/20,0
22,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/10/20,0
23,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/19/20,0
24,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/07/20,10
25,Q008012017,MMR008,Bago (West),MMR008012,Nattalin,ကွာရန်တင်းစခန်း,ရေမွှေး,04/20/20,0
