,SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
0,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,238394.0,28874,22276,5,575.0,70.0,283.0,6.0
1,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,114326.0,13777,8890,5,82.0,5.0,46.0,4.0
2,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,8199.0,199,66,5,25.0,1.0,9.0,1.0
3,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,55368.0,6809,2569,6,66.0,8.0,36.0,5.0
4,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,20881.0,2689,1043,6,null,1.0,19.0,1.0
5,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,7428.0,960,421,6,25.0,1.0,8.0,1.0
6,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,204950.0,18731,16056,5,205.0,37.0,110.0,6.0
7,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,140807.0,12999,10267,5,98.0,9.0,34.0,4.0
8,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,125033.0,25634,9756,5,null,15.0,52.0,5.0
9,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,129327.0,12714,9895,5,216.0,57.0,163.0,7.0
10,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,87291.0,9612,6014,5,114.0,8.0,41.0,7.0
11,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,84566.0,5941,5213,5,98.0,7.0,31.0,6.0
12,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,77411.0,4999,3653,5,null,3.0,12.0,4.0
13,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,63203.0,8081,4325,6,132.0,11.0,59.0,2.0
14,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,10428.0,304,164,5,50.0,1.0,5.0,0.0
15,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,9244.0,1257,666,5,41.0,3.0,17.0,2.0
16,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001017,Nawngmun,နောင်မွန်း,5790.0,1033,561,6,null,1.0,11.0,1.0
17,MMR001,Kachin,ကချင်ပြည်နယ်,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,13179.0,758,777,7,25.0,1.0,4.0,2.0
18,MMR002,Kayah,ကယားပြည်နယ်,MMR002001,Loikaw,လွိုင်ကော်,118683.0,13242,8512,5,532.0,86.0,260.0,4.0
19,MMR002,Kayah,ကယားပြည်နယ်,MMR002002,Demoso,ဒီမောဆို,86790.0,10426,4540,5,null,6.0,28.0,8.0
20,MMR002,Kayah,ကယားပြည်နယ်,MMR002003,Hpruso,ဖရူဆို,29651.0,4149,1756,5,41.0,4.0,15.0,5.0
21,MMR002,Kayah,ကယားပြည်နယ်,MMR002004,Shadaw,ရှားတော,7076.0,837,471,5,41.0,3.0,13.0,2.0
22,MMR002,Kayah,ကယားပြည်နယ်,MMR002005,Bawlakhe,ဘောလခဲ,7508.0,1056,523,4,50.0,5.0,13.0,2.0
23,MMR002,Kayah,ကယားပြည်နယ်,MMR002006,Hpasawng,ဖားဆောင်း,22490.0,3047,1111,5,41.0,5.0,15.0,1.0
24,MMR002,Kayah,ကယားပြည်နယ်,MMR002007,Mese,မယ်စဲ့,6835.0,729,266,4,41.0,4.0,14.0,1.0
25,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003001,Hpa-An,ဘားအံ,396707.0,46570,41354,5,289.0,13.0,33.0,15.0
26,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့,276108.0,33365,24100,5,139.0,8.0,61.0,10.0
27,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003003,Hpapun,ဖာပွန်,115755.0,4021,2105,5,141.0,9.0,62.0,4.0
28,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003004,Thandaunggyi,သံတောင်ကြီး,88728.0,12649,5647,5,82.0,7.0,27.0,6.0
29,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003005,Myawaddy,မြဝတီ,132346.0,24388,10421,5,164.0,22.0,67.0,3.0
30,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003006,Kawkareik,ကော့ကရိတ်,239907.0,24938,21172,5,173.0,24.0,62.0,5.0
31,MMR003,Kayin,ကရင်ပြည်နယ်,MMR003007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,246065.0,30586,17518,5,123.0,9.0,44.0,9.0
32,MMR004,Chin,ချင်းပြည်နယ်,MMR004001,Falam,ဖလမ်း,53170.0,5893,3875,5,248.0,20.0,110.0,1.0
33,MMR004,Chin,ချင်းပြည်နယ်,MMR004002,Hakha,ဟားခါး,45857.0,5679,4365,5,216.0,29.0,124.0,2.0
34,MMR004,Chin,ချင်းပြည်နယ်,MMR004003,Thantlang,ထန်တလန်,51857.0,7064,4242,5,114.0,4.0,25.0,8.0
35,MMR004,Chin,ချင်းပြည်နယ်,MMR004004,Tedim,တီးတိန်,96624.0,12044,5684,6,148.0,11.0,99.0,11.0
36,MMR004,Chin,ချင်းပြည်နယ်,MMR004005,Tonzang,တွန်းဇံ,32650.0,4822,1846,6,25.0,3.0,22.0,4.0
37,MMR004,Chin,ချင်းပြည်နယ်,MMR004006,Mindat,မင်းတပ်,46249.0,6506,3246,5,132.0,14.0,74.0,6.0
38,MMR004,Chin,ချင်းပြည်နယ်,MMR004007,Matupi,မတူပီ,56287.0,6812,4766,5,98.0,4.0,45.0,4.0
39,MMR004,Chin,ချင်းပြည်နယ်,MMR004008,Kanpetlet,ကန်ပက်လက်,23007.0,3463,1369,5,66.0,3.0,23.0,3.0
40,MMR004,Chin,ချင်းပြည်နယ်,MMR004009,Paletwa,ပလက်ဝ,98583.0,13657,6403,5,82.0,5.0,27.0,5.0
41,MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005001,Sagaing,စစ်ကိုင်း,282082.0,21749,34557,4,264.0,9.0,3.0,8.0
