,SR_PCODE,TS_PCODE,region,township,hospital_name,level,bed,lat,long,coordinates
0,MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,မြစ်ကြီးနားပြည်သူ့ဆေးရုံကြီး,null,500.0,25.39486,97.39546999999999,"97.39547,25.39486,0"
1,MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,ဆင်ဘိုတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25.0,24.77642,97.02906999999999,"97.02907,24.77642,0"
2,MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,တာလောကြီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25.0,25.07122,97.31649,"97.31649,25.07122,0"
3,MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,အောင်မြင်သာစံပြတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25.0,25.67001,97.48396,"97.48396,25.67001,0"
4,MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ဝိုင်းမော်မြို့နယ်ဆေးရုံ,မြို့နယ်,25.0,25.34985,97.44107,"97.44107,25.34985,0"
5,MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ကန်တော်ယန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16.0,24.97598,97.57422,"97.57422,24.97598,0"
6,MMR001,null,ကချင်ပြည်နယ်,null,မန်ဝိန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,null,25.50047,97.74412,"97.74412,25.50047,0"
7,MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ဆဒုံးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25.0,25.37916,97.88325999999999,"97.88326,25.37916,0"
8,MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ကန်ပိုက်တီတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16.0,25.40505,98.11883,"98.11883,25.40505,0"
9,MMR001,MMR001003,ကချင်ပြည်နယ်,အင်ဂျန်းယန်,အန်ဂျန်းယန်မြို့နယ်ဆေးရုံ,မြို့နယ်,25.0,25.82047,97.68141999999999,"97.68142,25.82047,0"
10,MMR001,MMR001004,ကချင်ပြည်နယ်,တနိုင်း,တနိုင်းမြို့နယ်ဆေးရုံ,မြို့နယ်,50.0,26.361459999999997,96.71868,"96.71868,26.36146,0"
11,MMR001,MMR001004,ကချင်ပြည်နယ်,တနိုင်း,ရှင်ဗွေယန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16.0,26.695940000000004,96.21207,"96.21207,26.69594,0"
12,MMR001,MMR001005,ကချင်ပြည်နယ်,ချီဖွေ,ချီဖွေမြို့နယ်ဆေးရုံ,မြို့နယ်,25.0,25.87531,98.15534,"98.15534,25.87531,0"
