SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001001,Myitkyina,မြစ်ကြီးနား,238394,28874,22276,5,575,70,283,6
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001002,Waingmaw,ဝိုင်းမော်,114326,13777,8890,5,82,5,46,4
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001003,Injangyang,အင်ဂျန်းယန်,8199,199,66,5,25,1,9,1
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001004,Tanai,တနိုင်း,55368,6809,2569,6,66,8,36,5
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001005,Chipwi,ချီဗွေ,20881,2689,1043,6,NA,1,19,1
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001006,Tsawlaw,ဆော့လော်,7428,960,421,6,25,1,8,1
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001007,Mohnyin,မိုးညှင်း,204950,18731,16056,5,205,37,110,6
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001008,Mogaung,မိုးကောင်း,140807,12999,10267,5,98,9,34,4
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001009,Hpakant,ဖားကန့်,125033,25634,9756,5,NA,15,52,5
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001010,Bhamo,ဗန်းမော်,129327,12714,9895,5,216,57,163,7
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001011,Shwegu,ရွှေကူ,87291,9612,6014,5,114,8,41,7
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001012,Momauk,မိုးမောက်,84566,5941,5213,5,98,7,31,6
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001013,Mansi,မန်စီ,77411,4999,3653,5,NA,3,12,4
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001014,Puta-O,ပူတာအို,63203,8081,4325,6,132,11,59,2
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001015,Sumprabum,ဆွမ်ပရာဘွမ်,10428,304,164,5,50,1,5,0
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001016,Machanbaw,မချမ်းဘော,9244,1257,666,5,41,3,17,2
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001017,Nawngmun,နောင်မွန်း,5790,1033,561,6,NA,1,11,1
MMR001,Kachin,ကချင်ပြည်နယ်,MMR001018,Khaunglanhpu,ခေါင်လန်ဖူး,13179,758,777,7,25,1,4,2
MMR002,Kayah,ကယားပြည်နယ်,MMR002001,Loikaw,လွိုင်ကော်,118683,13242,8512,5,532,86,260,4
MMR002,Kayah,ကယားပြည်နယ်,MMR002002,Demoso,ဒီမောဆို,86790,10426,4540,5,NA,6,28,8
MMR002,Kayah,ကယားပြည်နယ်,MMR002003,Hpruso,ဖရူဆို,29651,4149,1756,5,41,4,15,5
MMR002,Kayah,ကယားပြည်နယ်,MMR002004,Shadaw,ရှားတော,7076,837,471,5,41,3,13,2
MMR002,Kayah,ကယားပြည်နယ်,MMR002005,Bawlakhe,ဘောလခဲ,7508,1056,523,4,50,5,13,2
MMR002,Kayah,ကယားပြည်နယ်,MMR002006,Hpasawng,ဖားဆောင်း,22490,3047,1111,5,41,5,15,1
MMR002,Kayah,ကယားပြည်နယ်,MMR002007,Mese,မယ်စဲ့,6835,729,266,4,41,4,14,1
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003001,Hpa-An,ဘားအံ,396707,46570,41354,5,289,13,33,15
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003002,Hlaingbwe,လှိုင်းဘွဲ့,276108,33365,24100,5,139,8,61,10
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003003,Hpapun,ဖာပွန်,115755,4021,2105,5,141,9,62,4
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003004,Thandaunggyi,သံတောင်ကြီး,88728,12649,5647,5,82,7,27,6
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003005,Myawaddy,မြဝတီ,132346,24388,10421,5,164,22,67,3
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003006,Kawkareik,ကော့ကရိတ်,239907,24938,21172,5,173,24,62,5
MMR003,Kayin,ကရင်ပြည်နယ်,MMR003007,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,246065,30586,17518,5,123,9,44,9
MMR004,Chin,ချင်းပြည်နယ်,MMR004001,Falam,ဖလမ်း,53170,5893,3875,5,248,20,110,1
MMR004,Chin,ချင်းပြည်နယ်,MMR004002,Hakha,ဟားခါး,45857,5679,4365,5,216,29,124,2
MMR004,Chin,ချင်းပြည်နယ်,MMR004003,Thantlang,ထန်တလန်,51857,7064,4242,5,114,4,25,8
MMR004,Chin,ချင်းပြည်နယ်,MMR004004,Tedim,တီးတိန်,96624,12044,5684,6,148,11,99,11
MMR004,Chin,ချင်းပြည်နယ်,MMR004005,Tonzang,တွန်းဇံ,32650,4822,1846,6,25,3,22,4
MMR004,Chin,ချင်းပြည်နယ်,MMR004006,Mindat,မင်းတပ်,46249,6506,3246,5,132,14,74,6
MMR004,Chin,ချင်းပြည်နယ်,MMR004007,Matupi,မတူပီ,56287,6812,4766,5,98,4,45,4
MMR004,Chin,ချင်းပြည်နယ်,MMR004008,Kanpetlet,ကန်ပက်လက်,23007,3463,1369,5,66,3,23,3
MMR004,Chin,ချင်းပြည်နယ်,MMR004009,Paletwa,ပလက်ဝ,98583,13657,6403,5,82,5,27,5
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005001,Sagaing,စစ်ကိုင်း,282082,21749,34557,4,264,9,3,8
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005002,Myinmu,မြင်းမူ,114794,7415,13563,4,82,8,18,3
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005003,Myaung,မြောင်,112466,7616,13842,4,82,9,19,6
MMR005,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005004,Shwebo,ရွှေဘို,261875,19450,27701,5,264,75,102,10
