,No,SR,Township,Case,Tested,PUI,M,F,Child,Adult,Confirmed,Death,Recovered,Latitude,Longitude,FID
0,3,Yangon Region,Insein Township,"3, 6, 34, 35, 36, 37, 38, 40, 54, 55, 56, 58, 59, 61, 72, 73, 84, 93, 94",,,12,7,1,18,19,0,1,16.901771,96.095959,3
1,12,Yangon Region,South Okkalapa Township,"21, 22, 44, 47, 48, 49, 50, 51, 52, 89, 90, 91, 102",,,6,7,0,13,13,0,0,16.846249,96.179859,12
2,7,Yangon Region,Bahan Township,"8, 11, 12, 13, 15, 25, 28, 41, 42, 46, 71, 79",,,5,7,0,12,12,0,3,16.815427,96.156112,7
3,13,Yangon Region,Mayangone Township,"24, 43, 45, 62, 69, 70, 86, 98, 105, 108",,,5,5,0,10,10,1,0,16.86619,96.142611,13
4,20,Yangon Region,Pabedan Township,"39, 65, 66, 67, 68, 95",,,3,3,1,5,6,1,0,16.776983,96.15601,20
5,23,Sagaing Region,Kale Township,"74, 88, 114, 115, 116, 117",,,3,3,1,5,6,0,0,23.1933,94.02977,23
6,1,Chin State,Tedim Township,"1, 23, 31, 78, 113",5198.0,2212.0,2,3,0,5,5,0,0,23.37058,93.65619,1
7,14,Yangon Region,Hlaingtharya Township,"26, 63, 80, 81, 111",,,2,3,0,5,5,0,0,16.85402,96.06893,14
8,11,Bago Region,Paukkhaung Township,"17, 18, 19, 20",,,2,2,2,2,4,1,0,18.9028,95.54819,11
9,2,Yangon Region,Botahtaung Township,"2, 106, 110",,,3,0,0,3,3,0,0,16.771967,96.169709,2
10,17,Bago Region,Pyay Township,"30, 118, 119",,,0,3,0,3,3,0,0,18.82151,95.22103,17
11,19,Yangon Region,Shwepyithar,"33, 57, 60",,,1,2,0,3,3,0,0,16.95504,96.08329,19
12,5,Yangon Region,Mingalartaungnyunt Township,"5, 10",,,2,0,0,2,2,1,0,16.788908,96.16785899999999,5
13,8,Yangon Region,Mingaladon Township,"9, 97",,,1,1,0,2,2,0,1,16.94914,96.12795,8
14,10,Yangon Region,North Okkalapa Township,"16, 75",,,0,2,0,2,2,1,0,16.918775,96.163028,10
15,16,Shan State (South),Taunggyi Township,"29, 121",,,1,1,0,2,2,0,0,20.77477,97.03598,16
16,25,Yangon Region,Sanchaung Township,"77, 92",,,1,1,0,2,2,0,0,16.803809,96.137291,25
17,30,Shan State (East),Tachileik Township,"96, 112",,,1,1,0,2,2,0,0,20.45304,99.88403,30
18,32,Yangon Region,Dawbon Township,"99, 100",,,2,0,0,2,2,0,0,16.781917,96.18435,32
19,33,Yangon Region,Dagon Myothit (North) Township,"101, 107",,,1,1,0,2,2,0,0,16.87774,96.19079,33
20,4,Mandalay Region,Chanmyathazi Township,4,,,1,0,0,1,1,0,1,21.939404,96.095838,4
21,6,Naypyitaw,Za Bu Thi Ri Township,7,,,0,1,0,1,1,0,1,19.76867364,96.07260872,6
22,9,Shan State (North),Kyaukme Township,14,,,1,0,0,1,1,0,0,22.54172,97.03671,9
23,15,Mon State,Kyaikmaraw Township,27,,,0,1,0,1,1,0,0,16.37045,97.72411,15
24,18,Yangon Region,Hlegu Township,32,,,1,0,0,1,1,0,0,17.09875,96.22745,18
25,21,Magway Region,Myothit Township,53,,,1,0,0,1,1,0,0,20.19919,95.44692,21
26,22,Shan State (East),Monghpyak Township,64,,,1,0,0,1,1,0,0,20.87804,99.92333,22
27,24,Yangon Region,Ahlone Township,76,,,1,0,0,1,1,0,0,16.782398,96.127863,24
28,26,Mandalay Region,Aungmyaythazan Township,82,,,0,1,0,1,1,0,0,21.993206,96.096861,26
29,27,Yangon Region,Pazundaung Township,83,,,1,0,0,1,1,0,0,16.779648,96.174392,27
30,28,Yangon Region,Dagon Myothit (South) Township,85,,,1,0,0,1,1,0,0,16.84016,96.22582,28
31,29,Yangon Region,Tamwe Township,87,,,1,0,0,1,1,0,0,16.810182,96.17646,29
32,31,Yangon Region,Thingangyun Township,109,,,1,0,0,1,1,0,0,16.831011,96.19323,31
33,34,Yangon Region,Lanmadaw Township,103,,,1,0,0,1,1,0,0,16.779913,96.142335,34
34,35,Yangon Region,Kamaryut Township,104,,,0,1,0,1,1,0,0,16.827684,96.132439,35
35,36,Yangon Region,Dagon Myothit (East) Township,120,,,0,1,0,1,1,0,0,16.912805,96.213226,36
