,Announcement Date,Hospital-original,hospital-name-mm,PPE,Glove,N-95,Surgical Mask,Goggle,Shoe Cover,16 slides CT,ICU Bed,ECG,Infusion Pump,Syringe Pump,Ventilators,Remarks,Ref,lat,long
0,27/03/2020,Yangon,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,500.0,0.0,4000.0,3000.0,20.0,30.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.77947,96.15063
1,27/03/2020,Yangon,ရန်ကုန်အထူးကုဆေးရုံကြီး,50.0,0.0,1000.0,2000.0,20.0,30.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.7797,96.14403
2,27/03/2020,Yangon,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,50.0,0.0,3000.0,2000.0,0.0,30.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.77992,96.14595
3,27/03/2020,Yangon,ဗဟိုအမျိုးသမီးဆေးရုံကြီး,50.0,0.0,2000.0,2000.0,0.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.7853,96.13515
4,27/03/2020,Yangon,သင်ကြားရေးနှင့်အထွေထွေရောဂါကုဆေးရုံကြီး,200.0,0.0,3000.0,3000.0,30.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.90042,96.15841
5,27/03/2020,Yangon,ကလေးရောဂါအထူးကုဆေးရုံကြီး,50.0,0.0,3000.0,500.0,20.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.78848,96.13554
6,27/03/2020,Yangon,အရိုးရောဂါကုဆေးရုံကြီး,50.0,0.0,1000.0,500.0,10.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.81815,96.12477
7,27/03/2020,Yangon,သင်္ဃန်းကျွန်းစံပြအထွေထွေရောဂါကုဆေးရုံကြီး,100.0,0.0,3000.0,2000.0,30.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.83438,96.19181999999999
8,27/03/2020,Yangon,အင်းစိန်အထွေထွေရောဂါကုဆေးရုံကြီး,300.0,0.0,4000.0,2000.0,10.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.89162,96.10544
9,27/03/2020,Yangon,ရန်ကင်းကလေးဆေးရုံ,50.0,0.0,2000.0,500.0,5.0,20.0,null,null,null,null,null,null,null,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.834970000000002,96.1595
